<<<<<<< HEAD
Date,Close,Momentum,Change
2016-06-06,143.449997,0,0.0
2016-06-07,145.399994,1,0.013593565986620385
2016-06-08,147.949997,1,0.017537848041451802
2016-06-09,149.050003,1,0.007434984942919652
2016-06-10,146.300003,0,-0.018450184130489416
2016-06-13,146.100006,0,-0.001367033464790812
2016-06-14,148.800003,1,0.01848047152030915
2016-06-15,151.800003,1,0.020161289916103026
2016-06-16,151.600006,0,-0.0013175032677700026
2016-06-17,150.600006,0,-0.00659630580753407
2016-06-20,151.649994,1,0.006972031594739676
2016-06-21,149.899994,0,-0.011539730097186816
2016-06-22,149.100006,0,-0.0053368114210864135
2016-06-23,152.199997,1,0.02079135395876502
2016-06-24,147.149994,0,-0.033180046646124464
2016-06-27,151.850006,1,0.03194027992960717
2016-06-28,154.399994,1,0.016792808029260035
2016-06-29,153.899994,0,-0.0032383420947542266
2016-06-30,153.949997,1,0.0003249057956428757
2016-07-01,156.600006,1,0.01721343976382157
2016-07-04,159.800003,1,0.020434207390771085
2016-07-05,159.449997,0,-0.0021902753030612118
2016-07-07,158.149994,0,-0.008153044995040068
2016-07-08,154.75,0,-0.021498540176991675
2016-07-11,162.350006,1,0.049111508885298916
2016-07-12,160.75,0,-0.009855287593891482
2016-07-13,160.149994,0,-0.0037325412130638108
2016-07-14,163.699997,1,0.022166738264130088
2016-07-15,164.25,1,0.003359822908243571
2016-07-18,159.050003,0,-0.031659038051750354
2016-07-19,158.300003,0,-0.004715498182040273
2016-07-20,157.550003,0,-0.004737839455378911
2016-07-21,152.25,0,-0.03364013265045767
2016-07-22,150.699997,0,-0.010180643678160944
2016-07-25,155.850006,1,0.03417391574334279
2016-07-26,153.800003,0,-0.013153692146794039
2016-07-27,154.850006,1,0.006827067487118344
2016-07-28,154.5,0,-0.002260290516230316
2016-07-29,151.699997,0,-0.01812299676375407
2016-08-01,147.5,0,-0.027686203579819428
2016-08-02,151.149994,1,0.024745722033898254
2016-08-03,148.850006,0,-0.015216593392653294
2016-08-04,155.75,1,0.04635534915598184
2016-08-05,157.649994,1,0.012198998394863514
2016-08-08,157.5,0,-0.0009514367631374119
2016-08-09,158.449997,1,0.00603172698412696
2016-08-10,160.399994,1,0.012306702662796492
2016-08-11,145.949997,0,-0.09008726646211718
2016-08-12,149.600006,1,0.02500862675591567
2016-08-16,149.550003,0,-0.0003342446390009088
2016-08-17,151.350006,1,0.012036128143708589
2016-08-18,154.5,1,0.020812645359260785
2016-08-19,161.649994,1,0.046278278317152054
2016-08-22,160.050003,0,-0.009897872312942917
2016-08-23,164.300003,1,0.02655420131419804
2016-08-24,163.149994,0,-0.006999446007313897
2016-08-25,161.949997,0,-0.007355176488697856
2016-08-26,158.300003,0,-0.022537783683935435
2016-08-29,160.050003,1,0.011054958729217459
2016-08-30,164.149994,1,0.025616937976564665
2016-08-31,162.949997,0,-0.00731036883254468
2016-09-01,161.25,0,-0.010432629833064656
2016-09-02,166.350006,1,0.03162794418604656
2016-09-06,169.5,1,0.01893594160736004
2016-09-07,174.800003,1,0.03126845427728616
2016-09-08,174.75,0,-0.0002860583474932995
2016-09-09,171.949997,0,-0.01602290701001433
2016-09-12,161.75,0,-0.05931955323034985
2016-09-14,168.300003,1,0.04049460896445134
2016-09-15,166.600006,0,-0.0101009920956448
2016-09-16,164.75,0,-0.011104477391195336
2016-09-19,166.449997,1,0.010318646433990872
2016-09-20,166.699997,1,0.0015019525653701274
2016-09-21,164.350006,0,-0.014097126828382538
2016-09-22,169.449997,1,0.031031279670290905
2016-09-23,169.149994,0,-0.0017704514919525422
2016-09-26,166.350006,0,-0.016553284654565136
2016-09-27,164.0,0,-0.01412687655689058
2016-09-28,168.449997,1,0.027134128048780466
2016-09-29,161.899994,0,-0.038883960324439804
2016-09-30,167.399994,1,0.03397158865861354
2016-10-03,168.899994,1,0.008960573797870028
2016-10-04,169.850006,1,0.005624701206324585
2016-10-05,169.449997,0,-0.002355072039267466
2016-10-06,164.5,0,-0.029212139791303722
2016-10-07,163.850006,0,-0.003951331306990835
2016-10-10,161.949997,0,-0.011596026429196538
2016-10-13,154.25,0,-0.047545521103035254
2016-10-14,153.949997,0,-0.0019449141004862483
2016-10-17,150.949997,0,-0.01948684675843157
2016-10-18,155.699997,1,0.031467373927804715
2016-10-19,155.399994,0,-0.0019268015785511145
2016-10-20,157.449997,1,0.013191783006117773
2016-10-21,156.100006,0,-0.00857409352634023
2016-10-24,158.399994,1,0.014734067338857019
2016-10-25,156.550003,0,-0.011679236553506363
2016-10-26,155.149994,0,-0.008942887085093262
2016-10-27,153.050003,0,-0.01353523094560989
2016-10-28,156.25,1,0.02090817992339403
2016-11-01,155.300003,0,-0.006079980799999976
2016-11-02,150.0,0,-0.03412751382883105
2016-11-03,146.550003,0,-0.022999979999999975
2016-11-04,142.550003,0,-0.027294438199363256
2016-11-07,148.050003,1,0.03858295253771408
2016-11-08,148.949997,1,0.006078986705592923
2016-11-09,151.199997,1,0.015105740485513403
2016-11-10,165.0,1,0.09126986292202112
2016-11-11,160.5,0,-0.02727272727272727
2016-11-15,174.300003,1,0.08598132710280376
2016-11-16,173.399994,0,-0.005163562733845801
2016-11-17,174.75,1,0.007785501999498384
2016-11-18,176.949997,1,0.012589396280400551
2016-11-21,161.100006,0,-0.08957327645504277
2016-11-22,163.199997,1,0.013035325399056712
2016-11-23,162.100006,0,-0.006740141055272131
2016-11-24,167.050003,1,0.030536686099814185
2016-11-25,167.899994,1,0.0050882429496274155
2016-11-28,163.050003,0,-0.02888618923953022
2016-11-29,161.5,0,-0.009506304639565102
2016-11-30,164.149994,1,0.01640863157894732
2016-12-01,161.600006,0,-0.01553449950171783
2016-12-02,161.100006,0,-0.003094059291062155
2016-12-05,162.5,1,0.008690216932704473
2016-12-06,162.300003,0,-0.0012307507692307458
2016-12-07,157.5,0,-0.029574879305455118
2016-12-08,158.5,1,0.006349206349206349
2016-12-09,162.050003,1,0.022397495268138824
2016-12-12,158.899994,0,-0.01943850010295903
2016-12-13,160.399994,1,0.009439899664187528
2016-12-14,158.350006,0,-0.012780474293533857
2016-12-15,159.899994,1,0.009788367169370267
2016-12-16,159.649994,0,-0.001563477231900334
2016-12-19,159.350006,0,-0.0018790354605336523
2016-12-20,155.75,0,-0.02259181590492069
2016-12-21,157.5,1,0.011235955056179775
2016-12-22,155.050003,0,-0.015555536507936485
2016-12-23,153.0,0,-0.013221560531024329
2016-12-26,147.350006,0,-0.036928065359477076
2016-12-27,149.899994,1,0.017305652501975362
2016-12-28,150.149994,1,0.0016677785857683225
2016-12-29,151.5,1,0.008991049310331692
2016-12-30,153.399994,1,0.012541214521452095
2017-01-02,148.899994,0,-0.02933507285534835
2017-01-03,148.600006,0,-0.0020146945069721414
2017-01-04,148.0,0,-0.0040377252743853025
2017-01-05,150.949997,1,0.019932412162162138
2017-01-06,153.25,1,0.015236853565489
2017-01-09,152.800003,0,-0.0029363588907014436
2017-01-10,152.949997,1,0.0009816361063814405
2017-01-11,159.600006,1,0.04347832056511915
2017-01-12,158.699997,0,-0.005639153923340149
2017-01-13,157.75,0,-0.0059861185756669944
2017-01-16,159.600006,1,0.011727454833597512
2017-01-17,159.050003,0,-0.0034461339556591483
2017-01-18,158.850006,0,-0.0012574473198846542
2017-01-19,160.100006,1,0.007869058563334268
2017-01-20,154.350006,0,-0.035915051745844404
2017-01-23,154.199997,0,-0.0009718755696064656
2017-01-24,156.050003,1,0.011997445110196776
2017-01-25,161.949997,1,0.03780835556920811
2017-01-27,167.699997,1,0.035504786085300145
2017-01-30,167.75,1,0.0002981693553638155
2017-01-31,165.149994,0,-0.01549929061102836
2017-02-01,173.050003,1,0.04783535747509632
2017-02-02,177.649994,1,0.026581860273067946
2017-02-03,186.449997,1,0.04953562227533768
2017-02-06,184.600006,0,-0.009922183050504359
2017-02-07,187.050003,1,0.013271922645549623
2017-02-08,187.0,0,-0.0002673242405668595
2017-02-09,184.050003,0,-0.015775385026737948
2017-02-10,188.050003,1,0.021733224312960212
2017-02-13,168.800003,0,-0.10236639028397143
2017-02-14,168.800003,0,0.0
2017-02-15,163.199997,0,-0.033175390405650686
2017-02-16,166.050003,1,0.017463272379839613
2017-02-17,166.149994,1,0.000602174033083207
2017-02-20,168.850006,1,0.016250448976844474
2017-02-21,169.300003,1,0.0026650694936901347
2017-02-22,167.699997,0,-0.00945071454015277
2017-02-23,168.149994,1,0.002683345307394348
2017-02-27,164.399994,0,-0.022301517298894465
2017-02-28,165.300003,1,0.005474507499069687
2017-03-01,165.350006,1,0.00030249848210833844
2017-03-02,161.600006,0,-0.02267916458376179
2017-03-03,159.949997,0,-0.01021045135357242
2017-03-06,160.850006,1,0.0056268147351075685
2017-03-07,160.350006,0,-0.003108486051284325
2017-03-08,159.25,0,-0.00686003092510023
